Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
199,9340 (87.6382777),314824610,Information Technology,JEE,AI to AI,AI,3148
200,9467 (87.5055192),627346410,Instrumentation and Control ,JEE,AI to AI,AI,6273
,,,Engineering,,,,
201,9523 (87.4566920),621424510,Computer Engineering,JEE,AI to AI,AI,6214
202,9583 (87.3762144),627358910,Industrial Engineering,JEE,AI to AI,AI,6273
,,,,,,,
203,9609 (87.3686396),627437210,Electronics and Telecommunication,JEE,AI to AI,AI,6274
,,,Engg,,,,
204,9765 (87.1186863),320324610,Information Technology,JEE,AI to AI,AI,3203
205,9808 (87.0989403),613924620,Information Technology,JEE,AI to AI,AI,6139
206,10088 (86.7569574),617624610,Information Technology,JEE,AI to AI,AI,6176
207,10124 (86.7444807),319024510,Computer Engineering,JEE,AI to AI,AI,3190
208,10148 (86.6913817),318246110,Bio Medical Engineering,JEE,AI to AI,AI,3182
209,10164 (86.6883608),318724510,Computer Engineering,JEE,AI to AI,AI,3187
210,10250 (86.5976936),319624510,Computer Engineering,JEE,AI to AI,AI,3196
211,10270 (86.5524318),617824510,Computer Engineering,JEE,AI to AI,AI,6178
,,,,,,,
212,10285 (86.5212672),417424510,Computer Engineering,JEE,AI to AI,AI,4174
,,,,,,,
,,,,,,,
,,,,,,,
213,10303 (86.4998711),627837210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
214,10418 (86.3674118),614619110,Civil Engineering,JEE,AI to AI,AI,
215,10525 (86.2963568),411624610,Information Technology,JEE,AI to AI,AI,
216,10557 (86.2204724),627237210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
217,10604 (86.1444152),621456810,Computer Science and Information,JEE,AI to AI,AI,
,,,Technology,,,,
218,10721 (86.0147427),614124610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
219,10761 (85.9306242),414224210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
220,10766 (85.9306242),628300210,Aeronautical Engineering,JEE,AI to AI,AI,
221,10799 (85.9169181),225024210,Computer Science and Engineering,JEE,AI to AI,AI,
222,10975 (85.6956558),617824520,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
223,11044 (85.5784026),211337210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
224,11091 (85.5070605),615624610,Information Technology,JEE,AI to AI,AI,
225,11123 (85.4827381),320119110,Civil Engineering,JEE,AI to AI,AI,
226,11212 (85.4008757),626724210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
227,11236 (85.3414230),318546610,Instrumentation Engineering,JEE,AI to AI,AI,
228,11286 (85.3174603),417150710,Chemical Engineering,JEE,AI to AI,AI,
,,,,,,,
229,11353 (85.2760792),627261210,Mechanical Engineering,JEE,AI to AI,AI,
230,11498 (85.0447799),318824510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
231,11629 (84.9482543),319024520,Computer Engineering,JEE,AI to AI,AI,
232,11638 (84.9464042),628524610F,Information Technology,JEE,AI to AI,AI,
,,,,,,,
233,11665 (84.8761340),627861210,Mechanical Engineering,JEE,AI to AI,AI,
234,11726 (84.7992272),321024510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
235,11911 (84.6555661),417424610,Information Technology,JEE,AI to AI,AI,
236,12034 (84.4629004),616024510,Computer Engineering,JEE,AI to AI,AI,
237,12049 (84.4037790),313537210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
,,,,,,,
,,,,,,,
,,,,,,,
238,12134 (84.3322397),314837210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
239,12158 (84.3159258),679637210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
240,12194 (84.3036621),628424510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
241,12206 (84.2340472),322324510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
242,12213 (84.2340472),679661210,Mechanical Engineering,JEE,AI to AI,AI,
243,12247 (84.2040845),627646610F,Instrumentation Engineering,JEE,AI to AI,AI,
244,12254 (84.2040845),318950710,Chemical Engineering,JEE,AI to AI,AI,
245,12289 (84.1614907),617824610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
246,12347 (84.0928219),615524610,Information Technology,JEE,AI to AI,AI,
247,12398 (84.0665634),612224510,Computer Engineering,JEE,AI to AI,AI,
248,12506 (83.9493340),313937610,Electronics Engineering,JEE,AI to AI,AI,
249,12627 (83.7934708),319024610,Information Technology,JEE,AI to AI,AI,
250,12765 (83.6289598),321137210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
251,12818 (83.5117908),627261220,Mechanical Engineering,JEE,AI to AI,AI,
252,12934 (83.3941033),110124610,Information Technology,JEE,AI to AI,AI,
253,13005 (83.3453986),418724210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
254,13066 (83.2563929),318724610,Information Technology,JEE,AI to AI,AI,
255,13115 (83.1608381),225019110,Civil Engineering,JEE,AI to AI,AI,
256,13130 (83.1317057),416761210,Mechanical Engineering,JEE,AI to AI,AI,
257,13132 (83.1317057),416737210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
258,13148 (83.1115997),464924510,Computer Engineering,JEE,AI to AI,AI,
259,13171 (83.1115997),620624510,Computer Engineering,JEE,AI to AI,AI,
260,13268 (83.0635031),614524510,Computer Engineering,JEE,AI to AI,AI,
261,13332 (83.0404112),510824510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
262,13466 (82.8987823),631024510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
263,13515 (82.7869800),318750710,Chemical Engineering,JEE,AI to AI,AI,
264,13545 (82.7775962),618524510,Computer Engineering,JEE,AI to AI,AI,
265,13557 (82.7775962),516224510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
266,13575 (82.7775962),680250710,Chemical Engineering,JEE,AI to AI,AI,
267,13581 (82.7695609),617750710,Chemical Engineering,JEE,AI to AI,AI,
268,13582 (82.7695609),213224210,Computer Science and Engineering,JEE,AI to AI,AI,
269,13606 (82.7585578),620624610,Information Technology,JEE,AI to AI,AI,
270,13658 (82.6933837),319224510,Computer Engineering,JEE,AI to AI,AI,
271,13693 (82.6659764),618437210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
272,13810 (82.4482951),627850710,Chemical Engineering,JEE,AI to AI,AI,
273,13826 (82.3973200),627829310,Electrical Engineering,JEE,AI to AI,AI,
274,13867 (82.3697699),622224210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
275,13900 (82.3558112),320761210,Mechanical Engineering,JEE,AI to AI,AI,
276,13903 (82.3558112),675524510,Computer Engineering,JEE,AI to AI,AI,
277,13937 (82.3309070),621429310,Electrical Engineering,JEE,AI to AI,AI,
278,13945 (82.3309070),618224510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
279,13958 (82.3309070),318319110,Civil Engineering,JEE,AI to AI,AI,
280,14010 (82.2775244),317437210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
281,14037 (82.2597426),680237210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
282,14150 (82.0524334),617924510,Computer Engineering,JEE,AI to AI,AI,
283,14175 (82.0519302),313946110,Bio Medical Engineering,JEE,AI to AI,AI,
284,14204 (82.0022261),516024510,Computer Engineering,JEE,AI to AI,AI,
285,14207 (82.0022261),621419110,Civil Engineering,JEE,AI to AI,AI,
286,14391 (81.7554640),322319110,Civil Engineering,JEE,AI to AI,AI,
,,,,,,,
287,14456 (81.7402303),318360210,Automobile Engineering,JEE,AI to AI,AI,
288,14457 (81.7402303),319461210,Mechanical Engineering,JEE,AI to AI,AI,
289,14483 (81.7387047),622289810,Textile Engineering (Fashion,JEE,AI to AI,AI,
,,,Technology),,,,
290,14609 (81.6263321),512137210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
291,14686 (81.5150132),347537210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
292,14784 (81.3726674),626519110,Civil Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
293,14810 (81.3714275),318824610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
294,14931 (81.1901511),512150710,Chemical Engineering,JEE,AI to AI,AI,
295,14951 (81.1901511),512119110,Civil Engineering,JEE,AI to AI,AI,
296,15127 (80.9630147),621461210,Mechanical Engineering,JEE,AI to AI,AI,
297,15148 (80.9630147),317524510,Computer Engineering,JEE,AI to AI,AI,
298,15158 (80.9630147),314624510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
299,15213 (80.9527556),342319110,Civil Engineering,JEE,AI to AI,AI,
300,15243 (80.9349474),512161210,Mechanical Engineering,JEE,AI to AI,AI,
301,15372 (80.7502053),110524210,Computer Science and Engineering,JEE,AI to AI,AI,
302,15381 (80.7502053),413724210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
303,15387 (80.7502053),320760210,Automobile Engineering,JEE,AI to AI,AI,
304,15489 (80.5784932),630724510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
305,15503 (80.5784932),617737210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
306,15557 (80.5349334),319629310,Electrical Engineering,JEE,AI to AI,AI,
307,15567 (80.5349334),321024610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
308,15606 (80.5225696),662024510,Computer Engineering,JEE,AI to AI,AI,
309,15618 (80.5024001),620729310,Electrical Engineering,JEE,AI to AI,AI,
,,,,,,,
310,15622 (80.5024001),614524610,Information Technology,JEE,AI to AI,AI,
311,15650 (80.4968615),110161210,Mechanical Engineering,JEE,AI to AI,AI,
312,15675 (80.4685775),682261210,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
313,15706 (80.4406391),632324510,Computer Engineering,JEE,AI to AI,AI,
314,15732 (80.4395212),317437220,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
315,15783 (80.4220697),618524520,Computer Engineering,JEE,AI to AI,AI,
316,15788 (80.3882373),318337210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
317,15838 (80.1934836),417724210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
318,15843 (80.1934836),673224510,Computer Engineering,JEE,AI to AI,AI,
319,15928 (80.1262726),416719110,Civil Engineering,JEE,AI to AI,AI,
