Sr.No.,Merit (Score),Institute Code,Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type
70.0,2989 (92.6070387),4115,411537020,"Electronics and Communication
Engineering",JEE,AI to AI,AI
71.0,3031 (92.5089130),6272,627224510,Computer Engineering,JEE,AI to AI,AI
72.0,3070 (92.4459821),3176,317692110,"Artificial Intelligence and Machine
Learning",JEE,AI to AI,AI
73.0,3072 (92.4459821),4115,411546110,Bio Medical Engineering,JEE,AI to AI,AI
74.0,3114 (92.4364162),4115,411561210,Mechanical Engineering,JEE,AI to AI,AI
75.0,3178 (92.3129313),3199,319950710,Chemical Engineering,JEE,AI to AI,AI
76.0,3190 (92.3048250),3036,303672910,Surface Coating Technology,JEE,AI to AI,AI
77.0,3205 (92.2920648),6146,614624610,Information Technology,JEE,AI to AI,AI
78.0,3298 (92.1979161),6289,628999510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
79.0,3514 (91.8403514),6796,679624510,Computer Engineering,JEE,AI to AI,AI
80.0,3548 (91.8332985),3036,303651410,"Fibres and Textile Processing
Technology",JEE,AI to AI,AI
81.0,3551 (91.8332985),6141,614124510,Computer Engineering,JEE,AI to AI,AI
82.0,3567 (91.7540434),6822,682224510,Computer Engineering,JEE,AI to AI,AI
83.0,3650 (91.6581100),3204,320424510,Computer Engineering,JEE,AI to AI,AI
84.0,3661 (91.6438702),3197,319724610,Information Technology,JEE,AI to AI,AI
85.0,3678 (91.6238781),4115,411537610,Electronics Engineering,JEE,AI to AI,AI
86.0,3754 (91.4701597),6754,675424610,Information Technology,JEE,AI to AI,AI
87.0,3775 (91.4431022),3209,320937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
88.0,3784 (91.4431022),4115,411537620,Electronics Engineering,JEE,AI to AI,AI
89.0,3796 (91.4160180),3176,317699510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
,,,,Computer Science and,,,
90.0,3853 (91.3844507),3183,318391110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
91.0,3883 (91.3149720),6175,617537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
92.0,3895 (91.2475185),3184,318490010,Electronics and Computer Science,JEE,AI to AI,AI
93.0,3925 (91.2222675),3183,318324510,Computer Engineering,JEE,AI to AI,AI
94.0,3926 (91.2222675),3197,319737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
95.0,3956 (91.2125751),4115,411529310,Electrical Engineering,JEE,AI to AI,AI
96.0,4009 (91.1044385),3176,317625310,Internet of Things (IoT),JEE,AI to AI,AI
97.0,4015 (91.1044385),3182,318250710,Chemical Engineering,JEE,AI to AI,AI
98.0,4029 (91.0883933),6273,627361210,Mechanical Engineering,JEE,AI to AI,AI
99.0,4048 (91.0855668),6278,627824520,Computer Engineering,JEE,AI to AI,AI
100.0,4102 (90.9951692),6177,617724510,Computer Engineering,JEE,AI to AI,AI
101.0,4172 (90.8286547),6175,617537220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
102.0,4381 (90.4932262),4167,416724210,Computer Science and Engineering,JEE,AI to AI,AI
103.0,4432 (90.4590322),6273,627361220,Mechanical Engineering,JEE,AI to AI,AI
104.0,4448 (90.3786173),6139,613924510,Computer Engineering,JEE,AI to AI,AI
105.0,4458 (90.3765335),3189,318924510,Computer Engineering,JEE,AI to AI,AI
106.0,4472 (90.3765335),3208,320824610,Information Technology,JEE,AI to AI,AI
107.0,4480 (90.3715882),6272,627224610,Information Technology,JEE,AI to AI,AI
108.0,4498 (90.3672331),3214,321424610,Information Technology,JEE,AI to AI,AI
109.0,4559 (90.2370544),3135,313524510,Computer Engineering,JEE,AI to AI,AI
110.0,4685 (90.0166412),6177,617724520,Computer Engineering,JEE,AI to AI,AI
111.0,4719 (89.9667109),3139,313924610,Information Technology,JEE,AI to AI,AI
112.0,4740 (89.9667109),3201,320124510,Computer Engineering,JEE,AI to AI,AI
113.0,4764 (89.9572030),3185,318537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
114.0,4779 (89.9572030),3214,321437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
115.0,4822 (89.8782776),6282,628224510,Computer Engineering,JEE,AI to AI,AI
116.0,4928 (89.7056982),6276,627637210F,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
117.0,4930 (89.7056982),3211,321124510,Computer Engineering,JEE,AI to AI,AI
118.0,5002 (89.6436928),5121,512124510,Computer Engineering,JEE,AI to AI,AI
119.0,5067 (89.4732118),4115,411519110,Civil Engineering,JEE,AI to AI,AI
120.0,5100 (89.4715080),6289,628937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
121.0,5261 (89.2094379),3204,320461210,Mechanical Engineering,JEE,AI to AI,AI
122.0,5270 (89.2091523),6802,680224510,Computer Engineering,JEE,AI to AI,AI
123.0,5306 (89.1794150),4115,411519120,Civil Engineering,JEE,AI to AI,AI
124.0,5308 (89.1794150),6207,620724510,Computer Engineering,JEE,AI to AI,AI
125.0,5340 (89.1463772),3176,317637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
126.0,5369 (89.1102368),3211,321124610,Information Technology,JEE,AI to AI,AI
127.0,5409 (88.9592184),4116,411624210,Computer Science and Engineering,JEE,AI to AI,AI
128.0,5475 (88.9034061),3207,320724510,Computer Engineering,JEE,AI to AI,AI
129.0,5542 (88.8568844),6282,628224520,Computer Engineering,JEE,AI to AI,AI
130.0,5614 (88.6609486),6265,626524210,Computer Science and Engineering,JEE,AI to AI,AI
131.0,5705 (88.5707183),6207,620724520,Computer Engineering,JEE,AI to AI,AI
132.0,5745 (88.5200525),6139,613924520,Computer Engineering,JEE,AI to AI,AI
133.0,5877 (88.2592361),6175,617519110,Civil Engineering,JEE,AI to AI,AI
134.0,5917 (88.2292847),3135,313524610,Information Technology,JEE,AI to AI,AI
135.0,5946 (88.2289171),3204,320424610,Information Technology,JEE,AI to AI,AI
136.0,6030 (88.0909116),6175,617561210,Mechanical Engineering,JEE,AI to AI,AI
137.0,6033 (88.0909116),6177,617724610,Information Technology,JEE,AI to AI,AI
138.0,6048 (88.0378205),3423,342324510,Computer Engineering,JEE,AI to AI,AI
139.0,6128 (87.9271554),5121,512124610,Information Technology,JEE,AI to AI,AI
140.0,6133 (87.8974734),6276,627637220F,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
141.0,6142 (87.8974734),4115,411558910,Industrial Engineering,JEE,AI to AI,AI
142.0,6181 (87.8560088),6141,614124610,Information Technology,JEE,AI to AI,AI
143.0,6228 (87.7810287),3176,317661210,Mechanical Engineering,JEE,AI to AI,AI
144.0,6253 (87.7810287),1101,110124210,Computer Science and Engineering,JEE,AI to AI,AI
145.0,6324 (87.6521530),3475,347524510,Computer Engineering,JEE,AI to AI,AI
146.0,6458 (87.4924247),6207,620724610,Information Technology,JEE,AI to AI,AI
147.0,6507 (87.3353649),6155,615524510,Computer Engineering,JEE,AI to AI,AI
148.0,6509 (87.3353649),6175,617561220,Mechanical Engineering,JEE,AI to AI,AI
149.0,6531 (87.3174834),6281,628124510,Computer Engineering,JEE,AI to AI,AI
150.0,6647 (87.2216470),6282,628224610,Information Technology,JEE,AI to AI,AI
151.0,6648 (87.2216470),6176,617624510,Computer Engineering,JEE,AI to AI,AI
152.0,6672 (87.2090374),3176,317637610,Electronics Engineering,JEE,AI to AI,AI
153.0,6686 (87.1605258),3185,318537610,Electronics Engineering,JEE,AI to AI,AI
154.0,6838 (86.8921614),6156,615624510,Computer Engineering,JEE,AI to AI,AI
155.0,7009 (86.5792393),4116,411699710,Artificial Intelligence,JEE,AI to AI,AI
156.0,7026 (86.5792393),6281,628124520,Computer Engineering,JEE,AI to AI,AI
157.0,7137 (86.4765691),3183,318324610,Information Technology,JEE,AI to AI,AI
158.0,7176 (86.4353841),3189,318924610,Information Technology,JEE,AI to AI,AI
159.0,7236 (86.3334737),6285,628524510F,Computer Engineering,JEE,AI to AI,AI
160.0,7242 (86.3334737),3203,320324510,Computer Engineering,JEE,AI to AI,AI
161.0,7282 (86.2234746),6139,613924610,Information Technology,JEE,AI to AI,AI
162.0,7298 (86.2234746),4142,414224210,Computer Science and Engineering,JEE,AI to AI,AI
163.0,7330 (86.1693056),6754,675437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
164.0,7332 (86.1693056),3207,320724610,Information Technology,JEE,AI to AI,AI
165.0,7448 (86.0316146),6214,621424510,Computer Engineering,JEE,AI to AI,AI
166.0,7455 (86.0316146),3148,314824510,Computer Engineering,JEE,AI to AI,AI
167.0,7541 (85.8991652),6155,615524610,Information Technology,JEE,AI to AI,AI
168.0,7582 (85.8301142),6265,626524610,Information Technology,JEE,AI to AI,AI
169.0,7661 (85.7869807),3187,318724510,Computer Engineering,JEE,AI to AI,AI
170.0,7672 (85.7445380),3194,319424510,Computer Engineering,JEE,AI to AI,AI
171.0,7686 (85.6840892),6176,617624610,Information Technology,JEE,AI to AI,AI
172.0,7743 (85.6296276),3176,317619110,Civil Engineering,JEE,AI to AI,AI
173.0,7835 (85.4368932),3197,319729310,Electrical Engineering,JEE,AI to AI,AI
174.0,7947 (85.4059364),6214,621456810,"Computer Science and Information
Technology",JEE,AI to AI,AI
175.0,7970 (85.3778214),2250,225024210,Computer Science and Engineering,JEE,AI to AI,AI
176.0,8086 (85.1084939),6139,613924620,Information Technology,JEE,AI to AI,AI
177.0,8113 (85.0622493),4167,416724610,Information Technology,JEE,AI to AI,AI
178.0,8127 (85.0622493),6822,682237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
179.0,8177 (85.0128714),3197,319761210,Mechanical Engineering,JEE,AI to AI,AI
180.0,8204 (85.0128714),4167,416725110,Computer Technology,JEE,AI to AI,AI
181.0,8316 (84.8392186),6145,614524510,Computer Engineering,JEE,AI to AI,AI
182.0,8365 (84.8353696),6178,617824510,Computer Engineering,JEE,AI to AI,AI
183.0,8496 (84.5898560),6272,627299510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
184.0,8631 (84.4759838),6284,628424510,Computer Engineering,JEE,AI to AI,AI
185.0,8656 (84.4759838),6267,626724210,Computer Science and Engineering,JEE,AI to AI,AI
186.0,8755 (84.3040913),4116,411624610,Information Technology,JEE,AI to AI,AI
187.0,8773 (84.3040913),6146,614637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
188.0,8779 (84.3040913),3190,319024510,Computer Engineering,JEE,AI to AI,AI
189.0,8836 (84.1854032),6178,617824520,Computer Engineering,JEE,AI to AI,AI
190.0,8875 (84.1362819),6156,615624610,Information Technology,JEE,AI to AI,AI
191.0,8881 (84.1362819),4174,417424610,Information Technology,JEE,AI to AI,AI
192.0,8967 (83.9531460),6160,616024510,Computer Engineering,JEE,AI to AI,AI
193.0,9050 (83.7700478),6207,620799510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
194.0,9072 (83.7592344),4174,417424510,Computer Engineering,JEE,AI to AI,AI
195.0,9090 (83.7592344),3423,342324610,Information Technology,JEE,AI to AI,AI
196.0,9154 (83.7000641),6265,626519110,Civil Engineering,JEE,AI to AI,AI
197.0,9201 (83.6819036),6274,627437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
198.0,9221 (83.6510078),3201,320161210,Mechanical Engineering,JEE,AI to AI,AI
199.0,9252 (83.5781296),6178,617824610,Information Technology,JEE,AI to AI,AI
200.0,9271 (83.5306919),4116,411691710,Data Science,JEE,AI to AI,AI
201.0,9422 (83.3202181),3201,320199510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
202.0,9512 (83.2164625),3203,320324610,Information Technology,JEE,AI to AI,AI
203.0,9521 (83.2164625),1101,110124610,Information Technology,JEE,AI to AI,AI
204.0,9671 (83.0211088),6802,680299510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
205.0,9724 (82.9589254),3148,314824610,Information Technology,JEE,AI to AI,AI
206.0,9793 (82.8349555),5108,510824510,Computer Engineering,JEE,AI to AI,AI
207.0,9795 (82.8349555),3194,319424610,Information Technology,JEE,AI to AI,AI
208.0,9815 (82.8349555),6145,614524610,Information Technology,JEE,AI to AI,AI
209.0,9831 (82.7539900),4649,464924510,Computer Engineering,JEE,AI to AI,AI
210.0,9871 (82.7436999),5160,516024510,Computer Engineering,JEE,AI to AI,AI
211.0,9952 (82.6456988),4171,417150710,Chemical Engineering,JEE,AI to AI,AI
212.0,9958 (82.6456988),6289,628961210,Mechanical Engineering,JEE,AI to AI,AI
213.0,9988 (82.5296090),3190,319024520,Computer Engineering,JEE,AI to AI,AI
214.0,10031 (82.5135857),6278,627837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
215.0,10132 (82.3780358),6808,680861210,Mechanical Engineering,JEE,AI to AI,AI
216.0,10184 (82.3595638),6182,618224510,Computer Engineering,JEE,AI to AI,AI
217.0,10191 (82.3595638),5449,544924510,Computer Engineering,JEE,AI to AI,AI
218.0,10283 (82.3289846),3194,319499510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
219.0,10295 (82.3289846),5164,516424510,Computer Engineering,JEE,AI to AI,AI
220.0,10363 (82.1817193),3196,319624510,Computer Engineering,JEE,AI to AI,AI
221.0,10387 (82.1440139),3211,321190010,Electronics and Computer Science,JEE,AI to AI,AI
222.0,10488 (81.9028973),6272,627237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
223.0,10497 (81.9028973),6285,628524610F,Information Technology,JEE,AI to AI,AI
224.0,10605 (81.7623135),6122,612224510,Computer Engineering,JEE,AI to AI,AI
225.0,10633 (81.7547358),5152,515224210,Computer Science and Engineering,JEE,AI to AI,AI
226.0,10692 (81.7073680),5162,516224510,Computer Engineering,JEE,AI to AI,AI
227.0,10765 (81.6736280),6755,675524510,Computer Engineering,JEE,AI to AI,AI
228.0,10766 (81.6736280),3189,318950710,Chemical Engineering,JEE,AI to AI,AI
229.0,10790 (81.6656313),4137,413724210,Computer Science and Engineering,JEE,AI to AI,AI
230.0,10980 (81.3864804),3460,346024610,Information Technology,JEE,AI to AI,AI
231.0,11023 (81.2676448),3190,319024610,Information Technology,JEE,AI to AI,AI
232.0,11070 (81.1457316),3212,321224510,Computer Engineering,JEE,AI to AI,AI
233.0,11190 (81.0825854),6222,622224210,Computer Science and Engineering,JEE,AI to AI,AI
234.0,11205 (81.0825854),3211,321137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
235.0,11343 (80.9835222),3188,318824510,Computer Engineering,JEE,AI to AI,AI
236.0,11421 (80.8987154),3139,313937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
237.0,11464 (80.7278425),5121,512199510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
238.0,11557 (80.5366625),6274,627461210,Mechanical Engineering,JEE,AI to AI,AI
239.0,11637 (80.4707730),6146,614619110,Civil Engineering,JEE,AI to AI,AI
240.0,11680 (80.4707730),4175,417519110,Civil Engineering,JEE,AI to AI,AI
241.0,11778 (80.4362532),4136,413624210,Computer Science and Engineering,JEE,AI to AI,AI
242.0,11875 (80.3809342),2114,211424210,Computer Science and Engineering,JEE,AI to AI,AI
243.0,11973 (80.2982813),6273,627350710,Chemical Engineering,JEE,AI to AI,AI
244.0,12009 (80.2950778),3475,347524610,Information Technology,JEE,AI to AI,AI
245.0,12011 (80.2950778),1105,110524210,Computer Science and Engineering,JEE,AI to AI,AI
246.0,12020 (80.2950778),5162,516224610,Information Technology,JEE,AI to AI,AI
247.0,12077 (80.0547856),6141,614137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
248.0,12254 (79.8129357),6284,628424610,Information Technology,JEE,AI to AI,AI
249.0,12428 (79.5845466),6732,673224510,Computer Engineering,JEE,AI to AI,AI
250.0,12431 (79.5845466),6298,629824510,Computer Engineering,JEE,AI to AI,AI
251.0,12432 (79.5845466),3183,318337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
252.0,12449 (79.5845466),5160,516024610,Information Technology,JEE,AI to AI,AI
253.0,12464 (79.5845466),3204,320437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
254.0,12497 (79.5845466),6182,618224520,Computer Engineering,JEE,AI to AI,AI
255.0,12516 (79.5845466),5330,533024510,Computer Engineering,JEE,AI to AI,AI
256.0,12579 (79.4107872),3148,314899510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
257.0,12643 (79.3433535),4171,417124210,Computer Science and Engineering,JEE,AI to AI,AI
258.0,12653 (79.2999634),6310,631024510,Computer Engineering,JEE,AI to AI,AI
259.0,12661 (79.2999634),6276,627661210F,Mechanical Engineering,JEE,AI to AI,AI
260.0,12701 (79.2999634),6267,626708210,Bio Technology,JEE,AI to AI,AI
261.0,12789 (79.2965978),3196,319691210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
262.0,12904 (79.1882377),3187,318724610,Information Technology,JEE,AI to AI,AI
263.0,12941 (79.1532000),6139,613999510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
264.0,13021 (79.0106045),3175,317524510,Computer Engineering,JEE,AI to AI,AI
265.0,13077 (78.8491743),6649,664924510,Computer Engineering,JEE,AI to AI,AI
266.0,13081 (78.8491743),5172,517224510,Computer Engineering,JEE,AI to AI,AI
267.0,13141 (78.7086899),4138,413824210,Computer Science and Engineering,JEE,AI to AI,AI
268.0,13236 (78.5509024),6282,628299510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
269.0,13243 (78.5509024),4167,416737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
270.0,13264 (78.5486677),6182,618224610,Information Technology,JEE,AI to AI,AI
271.0,13300 (78.5069617),3146,314624510,Computer Engineering,JEE,AI to AI,AI
272.0,13310 (78.5069617),6289,628919110,Civil Engineering,JEE,AI to AI,AI
273.0,13314 (78.5069617),6273,627346410,"Instrumentation and Control
Engineering",JEE,AI to AI,AI
274.0,13424 (78.4246409),6214,621419110,Civil Engineering,JEE,AI to AI,AI
275.0,13432 (78.4246409),3439,343924510,Computer Engineering,JEE,AI to AI,AI
276.0,13436 (78.4246409),3154,315424510,Computer Engineering,JEE,AI to AI,AI
277.0,13437 (78.4246409),6146,614650710,Chemical Engineering,JEE,AI to AI,AI
278.0,13461 (78.3780324),4142,414299710,Artificial Intelligence,JEE,AI to AI,AI
279.0,13482 (78.3746832),3148,314825210,Cyber Security,JEE,AI to AI,AI
280.0,13492 (78.3746832),6179,617924510,Computer Engineering,JEE,AI to AI,AI
281.0,13725 (77.9127753),6214,621429310,Electrical Engineering,JEE,AI to AI,AI
282.0,13727 (77.9127753),6772,677224510,Computer Engineering,JEE,AI to AI,AI
283.0,13752 (77.9127753),5139,513924510,Computer Engineering,JEE,AI to AI,AI
284.0,13887 (77.8981424),6214,621437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
285.0,13891 (77.8981424),6802,680237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
286.0,13902 (77.7779556),4136,413699710,Artificial Intelligence,JEE,AI to AI,AI
287.0,13940 (77.7158720),6206,620624510,Computer Engineering,JEE,AI to AI,AI
288.0,13951 (77.7158720),6282,628237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
289.0,14005 (77.6563230),3192,319224510,Computer Engineering,JEE,AI to AI,AI
290.0,14096 (77.5295019),4116,411637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
291.0,14207 (77.4639332),3188,318824610,Information Technology,JEE,AI to AI,AI
292.0,14239 (77.4639332),6187,618724510,Computer Engineering,JEE,AI to AI,AI
293.0,14323 (77.3008521),5164,516429310,Electrical Engineering,JEE,AI to AI,AI
294.0,14344 (77.3008521),4171,417124610,Information Technology,JEE,AI to AI,AI
295.0,14433 (77.1536909),3223,322324610,Information Technology,JEE,AI to AI,AI
296.0,14444 (77.1536909),6185,618524510,Computer Engineering,JEE,AI to AI,AI
297.0,14623 (76.7585007),6298,629824520,Computer Engineering,JEE,AI to AI,AI
298.0,14766 (76.7218886),5121,512119110,Civil Engineering,JEE,AI to AI,AI
299.0,14790 (76.7169081),6756,675619110,Civil Engineering,JEE,AI to AI,AI
300.0,14832 (76.7169081),4177,417724210,Computer Science and Engineering,JEE,AI to AI,AI
301.0,14903 (76.6575418),6622,662224510,Computer Engineering,JEE,AI to AI,AI
302.0,15079 (76.4228752),3218,321824610,Information Technology,JEE,AI to AI,AI
303.0,15117 (76.3249696),6187,618724520,Computer Engineering,JEE,AI to AI,AI
304.0,15180 (76.2857399),6265,626537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
305.0,15244 (76.1275799),6146,614637610,Electronics Engineering,JEE,AI to AI,AI
306.0,15274 (76.0101923),6203,620324510,Computer Engineering,JEE,AI to AI,AI
307.0,15277 (76.0101923),3207,320761210,Mechanical Engineering,JEE,AI to AI,AI
308.0,15321 (76.0053841),6139,613992110,"Artificial Intelligence and Machine
Learning",JEE,AI to AI,AI
309.0,15350 (76.0053841),6274,627429310,Electrical Engineering,JEE,AI to AI,AI
310.0,15386 (75.9503111),6155,615519110,Civil Engineering,JEE,AI to AI,AI
311.0,15398 (75.9503111),3185,318546610,Instrumentation Engineering,JEE,AI to AI,AI
312.0,15416 (75.9503111),6786,678624510,Computer Engineering,JEE,AI to AI,AI
313.0,15449 (75.9094961),3194,319491210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
314.0,15471 (75.8366345),5108,510824610,Information Technology,JEE,AI to AI,AI
315.0,15496 (75.8074167),1105,110524220,Computer Science and Engineering,JEE,AI to AI,AI
