Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
21,1775 (97.3178688),627299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6272
,,,Data Science,,,,
22,1847 (97.2229914),319992010,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering (Internet of ,,,,
23,1953 (97.1128888),627137210,Electronics and ,JEE(Main),AI to AI,AI,6271
,,,Telecommunication Engg,,,,
24,2007 (97.0710016),318224610,Information Technology,JEE(Main),AI to AI,AI,3182
25,2014 (97.0436594),600661210,Mechanical Engineering,JEE(Main),AI to AI,AI,6006
26,2047 (97.0026128),627391110,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering(Artificial ,,,,
27,2062 (96.9931106),617524510,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
28,2110 (96.9152321),320924510,Computer Engineering,JEE(Main),AI to AI,AI,3209
29,2147 (96.8761950),627324610,Information Technology,JEE(Main),AI to AI,AI,6273
,,,,,,,
30,2388 (96.5929685),627391310,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering (Artificial ,,,,
31,2398 (96.5883949),411524210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering,,,,
32,2433 (96.5505597),318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3182
,,,Data Science,,,,
33,2451 (96.5210112),600662710,Manufacturing Science ,JEE(Main),AI to AI,AI,6006
,,,and Engineering,,,,
34,2595 (96.3537196),617524610,Information Technology,JEE(Main),AI to AI,AI,6175
,,,,,,,
35,2613 (96.3227756),600619110,Civil Engineering,JEE(Main),AI to AI,AI,6006
36,2638 (96.2832024),318524510,Computer Engineering,JEE(Main),AI to AI,AI,3185
,,,,,,,
37,2721 (96.1706654),627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6273
,,,Data Science,,,,
38,2728 (96.1674246),411524610,Information Technology,JEE(Main),AI to AI,AI,4115
39,2737 (96.1547400),303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI,3036
,,,Chemistry and Technology,,,,
40,2802 (96.0857558),319937210,Electronics and ,JEE(Main),AI to AI,AI,3199
,,,Telecommunication Engg,,,,
41,2803 (96.0857558),411537010,Electronics and ,JEE(Main),AI to AI,AI,4115
,,,Communication ,,,,
,2811 (96.0762583),318524610,Information Technology,JEE(Main),AI to AI,AI,3185
,,,,,,,
,,,,,,,
43,2861 (96.0178935),303653410,Food Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
44,2979 (95.8801251),318599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3185
,,,Data Science,,,,
45,3009 (95.8559865),628991110,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering(Artificial ,,,,
46,3082 (95.7587194),628924510,Computer Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
47,3150 (95.6976420),617524590L,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
48,3156 (95.6910086),320924610,Information Technology,JEE(Main),AI to AI,AI,3209
49,3199 (95.6308075),627624650F,Information Technology,JEE(Main),AI to AI,AI,6276
50,3207 (95.6261455),319961210,Mechanical Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
51,3242 (95.5838692),318424510,Computer Engineering,JEE(Main),AI to AI,AI,3184
52,3312 (95.4996573),317624610,Information Technology,JEE(Main),AI to AI,AI,3176
53,3367 (95.4416518),627637250F,Electronics and ,JEE(Main),AI to AI,AI,6276
,,,Telecommunication Engg,,,,
54,3425 (95.3911856),627337210,Electronics and ,JEE(Main),AI to AI,AI,6273
,,,Telecommunication Engg,,,,
55,3668 (95.1082652),628924610,Information Technology,JEE(Main),AI to AI,AI,6289
,,,,,,,
56,3694 (95.0894219),628991310,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering (Artificial ,,,,
,,,,,,,
57,3772 (95.0028020),628992710,Computer Engineering ,JEE(Main),AI to AI,AI,6289
,,,(Software Engineering),,,,
58,3782 (94.9928181),320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3209
,,,Data Science,,,,
59,3809 (94.9606126),516024610,Information Technology,JEE(Main),AI to AI,AI,5160
,,,,,,,
60,3979 (94.7586285),411591110,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Artificial ,,,,
61,4009 (94.7308042),318499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3184
,,,Data Science,,,,
62,4182 (94.5201102),318590010,Electronics and Computer ,JEE(Main),AI to AI,AI,3185
,,,Science,,,,
63,4226 (94.4892738),628992010,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering (Internet of ,,,,
64,4280 (94.4235409),627424510,Computer Engineering,JEE(Main),AI to AI,AI,6274
,,,,,,,
65,4285 (94.3995137),411591210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Data Science),,,,
66,4292 (94.3789862),627224510,Computer Engineering,JEE(Main),AI to AI,AI,6272
67,4460 (94.2192222),411591010,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Cyber ,,,,
68,4505 (94.1830850),614124510,Computer Engineering,JEE(Main),AI to AI,AI,6141
,,,,,,,
69,4548 (94.1174929),628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6289
,,,Data Science,,,,
70,4578 (94.0913251),321124510,Computer Engineering,JEE(Main),AI to AI,AI,3211
,,,,,,,
71,4631 (94.0379190),627224610,Information Technology,JEE(Main),AI to AI,AI,6272
72,4663 (93.9826517),680224510,Computer Engineering,JEE(Main),AI to AI,AI,6802
,,,,,,,
73,4713 (93.9487058),321192110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3211
,,,Machine Learning,,,,
74,4816 (93.8275506),627424610,Information Technology,JEE(Main),AI to AI,AI,6274
,,,,,,,
75,4867 (93.7948022),617537210,Electronics and ,JEE(Main),AI to AI,AI,6175
,,,Telecommunication Engg,,,,
76,5046 (93.6010356),320937210,Electronics and ,JEE(Main),AI to AI,AI,3209
,,,Telecommunication Engg,,,,
77,5112 (93.5267038),320424510,Computer Engineering,JEE(Main),AI to AI,AI,3204
78,5170 (93.4714600),319691210,Computer Science and ,JEE(Main),AI to AI,AI,3196
,,,Engineering(Data Science),,,,
79,5207 (93.4401351),628937210,Electronics and ,JEE(Main),AI to AI,AI,6289
,,,Telecommunication Engg,,,,
80,5361 (93.2785628),679624510,Computer Engineering,JEE(Main),AI to AI,AI,6796
81,5552 (93.0516320),682224510,Computer Engineering,JEE(Main),AI to AI,AI,6822
,,,,,,,
82,5679 (92.8987840),626724210,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Engineering,,,,
83,5843 (92.7342632),621424510,Computer Engineering,JEE(Main),AI to AI,AI,6214
84,5950 (92.6283621),313924510,Computer Engineering,JEE(Main),AI to AI,AI,3139
85,5965 (92.6274952),411590010,Electronics and Computer ,JEE(Main),AI to AI,AI,4115
,,,Science,,,,
86,6044 (92.5389908),321424510,Computer Engineering,JEE(Main),AI to AI,AI,3214
,,,,,,,
87,6167 (92.4130213),320824510,Computer Engineering,JEE(Main),AI to AI,AI,3208
88,6199 (92.3798870),620724510,Computer Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
89,6202 (92.3798870),321492010,Computer Science and ,JEE(Main),AI to AI,AI,3214
,,,Engineering (Internet of ,,,,
90,6272 (92.3036807),411529310,Electrical Engineering,JEE(Main),AI to AI,AI,4115
91,6369 (92.2198833),675424510,Computer Engineering,JEE(Main),AI to AI,AI,6754
92,6400 (92.1846841),682224610,Information Technology,JEE(Main),AI to AI,AI,6822
,,,,,,,
93,6441 (92.1133547),620724610,Information Technology,JEE(Main),AI to AI,AI,6207
,,,,,,,
94,6563 (92.0072362),627350710,Chemical Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
95,6570 (92.0044673),303651410,Fibres and Textile ,JEE(Main),AI to AI,AI,3036
,,,Processing Technology,,,,
96,6603 (91.9381019),416791110,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering(Artificial ,,,,
97,6611 (91.9333904),318490010,Electronics and Computer ,JEE(Main),AI to AI,AI,3184
,,,Science,,,,
98,6626 (91.9057985),318591610,Automation and Robotics,JEE(Main),AI to AI,AI,3185
,,,,,,,
,,,,,,,
99,6678 (91.8685924),627824510,Computer Engineering,JEE(Main),AI to AI,AI,6278
100,6805 (91.7388610),614624510,Computer Engineering,JEE(Main),AI to AI,AI,6146
101,6835 (91.7094392),627499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6274
,,,Data Science,,,,
102,7007 (91.5227174),675424610,Information Technology,JEE(Main),AI to AI,AI,6754
103,7017 (91.5179102),627361210,Mechanical Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
104,7054 (91.4850692),313924610,Information Technology,JEE(Main),AI to AI,AI,3139
105,7171 (91.3376632),320824610,Information Technology,JEE(Main),AI to AI,AI,3208
106,7185 (91.3325227),203290410,Chemical Engineering,JEE(Main),AI to AI,AI,2032
,,,,,,,
107,7276 (91.1991731),614124610,Information Technology,JEE(Main),AI to AI,AI,6141
,,,,,,,
108,7305 (91.1833135),321192010,Computer Science and ,JEE(Main),AI to AI,AI,3211
,,,Engineering (Internet of ,,,,
109,7324 (91.1762393),614692710,Computer Engineering ,JEE(Main),AI to AI,AI,6146
,,,(Software Engineering),,,,
110,7412 (91.0783933),320424610,Information Technology,JEE(Main),AI to AI,AI,3204
111,7419 (91.0783933),317637210,Electronics and ,JEE(Main),AI to AI,AI,3176
,,,Telecommunication Engg,,,,
112,7428 (91.0506958),628224610,Information Technology,JEE(Main),AI to AI,AI,6282
,,,,,,,
,,,,,,,
113,7447 (91.0257859),626791210,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Engineering(Data Science),,,,
114,7504 (90.9912347),318392010,Computer Science and ,JEE(Main),AI to AI,AI,3183
,,,Engineering (Internet of ,,,,
115,7521 (90.9764496),318924510,Computer Engineering,JEE(Main),AI to AI,AI,3189
116,7558 (90.9662957),627661250F,Mechanical Engineering,JEE(Main),AI to AI,AI,6276
117,7748 (90.7720910),321424610,Information Technology,JEE(Main),AI to AI,AI,3214
,,,,,,,
118,7768 (90.7522038),680299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6802
,,,Data Science,,,,
119,7771 (90.7522038),318537210,Electronics and ,JEE(Main),AI to AI,AI,3185
,,,Telecommunication Engg,,,,
120,7783 (90.7442191),682237210,Electronics and ,JEE(Main),AI to AI,AI,6822
,,,Telecommunication Engg,,,,
121,7794 (90.7417023),416724210,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering,,,,
122,7795 (90.7417023),617724510,Computer Engineering,JEE(Main),AI to AI,AI,6177
123,7827 (90.6501539),319737210,Electronics and ,JEE(Main),AI to AI,AI,3197
,,,Telecommunication Engg,,,,
124,8004 (90.4894496),627346410,Instrumentation and ,JEE(Main),AI to AI,AI,6273
,,,Control Engineering,,,,
125,8029 (90.4297054),620799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6207
,,,Data Science,,,,
126,8098 (90.3617599),313524510,Computer Engineering,JEE(Main),AI to AI,AI,3135
,,,,,,,
,,,,,,,
127,8111 (90.3598063),617724610,Information Technology,JEE(Main),AI to AI,AI,6177
128,8237 (90.2158577),411624210,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering,,,,
129,8246 (90.2091167),411561210,Mechanical Engineering,JEE(Main),AI to AI,AI,4115
130,8377 (90.0750868),318461210,Mechanical Engineering,JEE(Main),AI to AI,AI,3184
131,8378 (90.0750868),675437210,Electronics and ,JEE(Main),AI to AI,AI,6754
,,,Telecommunication Engg,,,,
132,8460 (89.9790554),614126210,Computer Science and ,JEE(Main),AI to AI,AI,6141
,,,Business Systems,,,,
133,8563 (89.8428200),613924510,Computer Engineering,JEE(Main),AI to AI,AI,6139
134,8649 (89.7780767),679637210,Electronics and ,JEE(Main),AI to AI,AI,6796
,,,Telecommunication Engg,,,,
135,8730 (89.6974457),225024210,Computer Science and ,JEE(Main),AI to AI,AI,2250
,,,Engineering,,,,
136,8799 (89.5981928),627237210,Electronics and ,JEE(Main),AI to AI,AI,6272
,,,Telecommunication Engg,,,,
137,8827 (89.5918990),626524210,Computer Science and ,JEE(Main),AI to AI,AI,6265
,,,Engineering,,,,
138,8840 (89.5522174),313990010,Electronics and Computer ,JEE(Main),AI to AI,AI,3139
,,,Science,,,,
139,8854 (89.5285591),318250710,Chemical Engineering,JEE(Main),AI to AI,AI,3182
140,8960 (89.4116806),628299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6282
,,,Data Science,,,,
141,8990 (89.3902005),416724610,Information Technology,JEE(Main),AI to AI,AI,4167
142,9027 (89.3786147),615524510,Computer Engineering,JEE(Main),AI to AI,AI,6155
143,9047 (89.3376531),615624510,Computer Engineering,JEE(Main),AI to AI,AI,6156
144,9059 (89.3376531),622224210,Computer Science and ,JEE(Main),AI to AI,AI,6222
,,,Engineering,,,,
145,9104 (89.2405790),621456810,Computer Science and ,JEE(Main),AI to AI,AI,6214
,,,Information Technology,,,,
146,9273 (89.1045003),320124510,Computer Engineering,JEE(Main),AI to AI,AI,3201
147,9295 (89.0296523),613924610,Information Technology,JEE(Main),AI to AI,AI,6139
148,9360 (88.9788302),416799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,4167
,,,Data Science,,,,
149,9438 (88.9336553),615524610,Information Technology,JEE(Main),AI to AI,AI,6155
150,9462 (88.9104263),318924610,Information Technology,JEE(Main),AI to AI,AI,3189
151,9472 (88.9057917),411691310,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering (Artificial ,,,,
152,9498 (88.8631492),615591110,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering(Artificial ,,,,
153,9532 (88.7797649),320724510,Computer Engineering,JEE(Main),AI to AI,AI,3207
154,9748 (88.5713525),620737210,Electronics and ,JEE(Main),AI to AI,AI,6207
,,,Telecommunication Engg,,,,
,,,,,,,
155,9788 (88.5312082),512124510,Computer Engineering,JEE(Main),AI to AI,AI,5121
156,9865 (88.4479869),213424210,Computer Science and ,JEE(Main),AI to AI,AI,2134
,,,Engineering,,,,
157,9989 (88.2867181),314824510,Computer Engineering,JEE(Main),AI to AI,AI,3148
,,,,,,,
158,10080 (88.2302485),613999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6139
,,,Data Science,,,,
159,10090 (88.2278166),627837210,Electronics and ,JEE(Main),AI to AI,AI,6278
,,,Telecommunication Engg,,,,
160,10139 (88.1425351),615624610,Information Technology,JEE(Main),AI to AI,AI,6156
161,10146 (88.1425351),628124510,Computer Engineering,JEE(Main),AI to AI,AI,6281
162,10157 (88.1299182),615699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6156
,,,Data Science,,,,
163,10161 (88.1299182),317661210,Mechanical Engineering,JEE(Main),AI to AI,AI,3176
164,10199 (88.0901288),614137210,Electronics and ,JEE(Main),AI to AI,AI,6141
,,,Telecommunication Engg,,,,
165,10224 (88.0418294),627646450F,Instrumentation and ,JEE(Main),AI to AI,AI,6276
,,,Control Engineering,,,,
166,10230 (88.0418294),627221910,Robotics and Automation,JEE(Main),AI to AI,AI,6272
167,10374 (87.9058128),615591210,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering(Data Science),,,,
168,10393 (87.8543698),110124210,Computer Science and ,JEE(Main),AI to AI,AI,1101
,,,Engineering,,,,
169,10464 (87.8318240),411519110,Civil Engineering,JEE(Main),AI to AI,AI,4115
170,10517 (87.7258955),416725710,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Design,,,,
171,10549 (87.7183091),313524610,Information Technology,JEE(Main),AI to AI,AI,3135
,,,,,,,
172,10550 (87.7183091),628524550F,Computer Engineering,JEE(Main),AI to AI,AI,6285
,,,,,,,
173,10621 (87.5890349),412324210,Computer Science and ,JEE(Main),AI to AI,AI,4123
,,,Engineering,,,,
174,10691 (87.5756940),617561210,Mechanical Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
175,10726 (87.5291307),313937210,Electronics and ,JEE(Main),AI to AI,AI,3139
,,,Telecommunication Engg,,,,
176,10761 (87.4742993),320199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3201
,,,Data Science,,,,
177,10787 (87.4490402),680237210,Electronics and ,JEE(Main),AI to AI,AI,6802
,,,Telecommunication Engg,,,,
178,10841 (87.3466363),313599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3135
,,,Data Science,,,,
179,10849 (87.3266417),414224210,Computer Science and ,JEE(Main),AI to AI,AI,4142
,,,Engineering,,,,
180,10853 (87.3201038),613992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6139
,,,Machine Learning,,,,
181,10876 (87.3193965),626791110,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Engineering(Artificial ,,,,
182,10907 (87.2995642),627437210,Electronics and ,JEE(Main),AI to AI,AI,6274
,,,Telecommunication Engg,,,,
,,,,,,,
183,10953 (87.2737804),321437210,Electronics and ,JEE(Main),AI to AI,AI,3214
,,,Telecommunication Engg,,,,
184,10991 (87.2451889),320437210,Electronics and ,JEE(Main),AI to AI,AI,3204
,,,Telecommunication Engg,,,,
185,11056 (87.1521868),628961210,Mechanical Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
186,11101 (87.1139220),319424510,Computer Engineering,JEE(Main),AI to AI,AI,3194
187,11142 (87.0366726),315491110,Computer Science and ,JEE(Main),AI to AI,AI,3154
,,,Engineering(Artificial ,,,,
188,11216 (87.0021654),320324510,Computer Engineering,JEE(Main),AI to AI,AI,3203
189,11252 (86.9738464),314824610,Information Technology,JEE(Main),AI to AI,AI,3148
,,,,,,,
190,11282 (86.9172321),318324510,Computer Engineering,JEE(Main),AI to AI,AI,3183
,,,,,,,
191,11340 (86.8899470),617824510,Computer Engineering,JEE(Main),AI to AI,AI,6178
,,,,,,,
192,11358 (86.8562232),516224510,Computer Engineering,JEE(Main),AI to AI,AI,5162
,,,,,,,
193,11505 (86.6994814),675524510,Computer Engineering,JEE(Main),AI to AI,AI,6755
194,11546 (86.6547352),416726710,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering (IoT),,,,
195,11652 (86.5197151),320190010,Electronics and Computer ,JEE(Main),AI to AI,AI,3201
,,,Science,,,,
196,11671 (86.4717454),614524510,Computer Engineering,JEE(Main),AI to AI,AI,6145
,,,,,,,
197,11702 (86.4427314),320724610,Information Technology,JEE(Main),AI to AI,AI,3207
198,11782 (86.3924424),628524650F,Information Technology,JEE(Main),AI to AI,AI,6285
,,,,,,,
199,11786 (86.3924424),620729310,Electrical Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
200,11801 (86.3640106),615591310,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering (Artificial ,,,,
201,11973 (86.1223833),319026310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3190
,,,and Data Science,,,,
202,12073 (86.0647409),515224610,Information Technology,JEE(Main),AI to AI,AI,5152
203,12090 (86.0586552),411624610,Information Technology,JEE(Main),AI to AI,AI,4116
204,12130 (86.0228871),414291010,Computer Science and ,JEE(Main),AI to AI,AI,4142
,,,Engineering(Cyber ,,,,
205,12141 (86.0085637),319624510,Computer Engineering,JEE(Main),AI to AI,AI,3196
206,12182 (85.9382761),512124610,Information Technology,JEE(Main),AI to AI,AI,5121
207,12247 (85.8825722),411691710,Data Science,JEE(Main),AI to AI,AI,4116
208,12306 (85.8538708),613984410,Electronics and Computer ,JEE(Main),AI to AI,AI,6139
,,,Engineering,,,,
209,12311 (85.8166932),662237210,Electronics and ,JEE(Main),AI to AI,AI,6622
,,,Telecommunication Engg,,,,
210,12368 (85.7669387),628237210,Electronics and ,JEE(Main),AI to AI,AI,6282
,,,Telecommunication Engg,,,,
,,,,,,,
211,12808 (85.3141288),516024510,Computer Engineering,JEE(Main),AI to AI,AI,5160
,,,,,,,
212,12915 (85.1611272),417424510,Computer Engineering,JEE(Main),AI to AI,AI,4174
213,12925 (85.1592976),319024510,Computer Engineering,JEE(Main),AI to AI,AI,3190
214,12938 (85.1337798),319424610,Information Technology,JEE(Main),AI to AI,AI,3194
215,12945 (85.1337798),627821910,Robotics and Automation,JEE(Main),AI to AI,AI,6278
216,12971 (85.1128125),617824610,Information Technology,JEE(Main),AI to AI,AI,6178
,,,,,,,
217,13116 (84.9655954),110124610,Information Technology,JEE(Main),AI to AI,AI,1101
218,13161 (84.9268558),411699710,Artificial Intelligence,JEE(Main),AI to AI,AI,4116
219,13167 (84.9268558),613937210,Electronics and ,JEE(Main),AI to AI,AI,6139
,,,Telecommunication Engg,,,,
220,13243 (84.8198000),615526010,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering (Cyber ,,,,
221,13248 (84.7901332),614526310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6145
,,,and Data Science,,,,
222,13325 (84.7209178),673224510,Computer Engineering,JEE(Main),AI to AI,AI,6732
223,13360 (84.7148577),662224510,Computer Engineering,JEE(Main),AI to AI,AI,6622
224,13378 (84.7072291),318724510,Computer Engineering,JEE(Main),AI to AI,AI,3187
,,,,,,,
225,13426 (84.6556469),628229310,Electrical Engineering,JEE(Main),AI to AI,AI,6282
,,,,,,,
226,13480 (84.6236006),626726210,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Business Systems,,,,
227,13516 (84.5345404),319024610,Information Technology,JEE(Main),AI to AI,AI,3190
228,13536 (84.5200544),614524610,Information Technology,JEE(Main),AI to AI,AI,6145
229,13660 (84.3766908),614637210,Electronics and ,JEE(Main),AI to AI,AI,6146
,,,Telecommunication Engg,,,,
230,13797 (84.2652994),320837210,Electronics and ,JEE(Main),AI to AI,AI,3208
,,,Telecommunication Engg,,,,
231,13800 (84.2652994),626524610,Information Technology,JEE(Main),AI to AI,AI,6265
232,13863 (84.2286446),662299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6622
,,,Data Science,,,,
233,13914 (84.1035268),417424610,Information Technology,JEE(Main),AI to AI,AI,4174
234,13949 (84.0707600),677224610,Information Technology,JEE(Main),AI to AI,AI,6772
235,13952 (84.0707600),414291710,Data Science,JEE(Main),AI to AI,AI,4142
,,,,,,,
236,14126 (83.9458922),347524510,Computer Engineering,JEE(Main),AI to AI,AI,3475
237,14139 (83.9240828),320324610,Information Technology,JEE(Main),AI to AI,AI,3203
238,14225 (83.8490240),617737210,Electronics and ,JEE(Main),AI to AI,AI,6177
,,,Telecommunication Engg,,,,
,,,,,,,
239,14257 (83.7613665),414224610,Information Technology,JEE(Main),AI to AI,AI,4142
,,,,,,,
240,14348 (83.6961228),612291210,Computer Science and ,JEE(Main),AI to AI,AI,6122
,,,Engineering(Data Science),,,,
241,14466 (83.5906927),512199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5121
,,,Data Science,,,,
242,14578 (83.5024566),631024510,Computer Engineering,JEE(Main),AI to AI,AI,6310
,,,,,,,
243,14799 (83.2420143),699126310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6991
,,,and Data Science,,,,
244,15080 (82.9197177),699124610,Information Technology,JEE(Main),AI to AI,AI,6991
245,15147 (82.8833198),318824510,Computer Engineering,JEE(Main),AI to AI,AI,3188
,,,,,,,
246,15153 (82.8833198),512125710,Computer Science and ,JEE(Main),AI to AI,AI,5121
,,,Design,,,,
247,15213 (82.8522346),631024610,Information Technology,JEE(Main),AI to AI,AI,6310
,,,,,,,
248,15235 (82.7754579),322124510,Computer Engineering,JEE(Main),AI to AI,AI,3221
,,,,,,,
249,15348 (82.6683776),110135610,Electrical Engg[Electronics ,JEE(Main),AI to AI,AI,1101
,,,and Power],,,,
250,15525 (82.4994256),617924510,Computer Engineering,JEE(Main),AI to AI,AI,6179
251,15572 (82.4821687),620791610,Automation and Robotics,JEE(Main),AI to AI,AI,6207
,,,,,,,
,15630 (82.4364077),416737210,Electronics and ,JEE(Main),AI to AI,AI,4167
,,,Telecommunication Engg,,,,
,,,,,,,
253,15655 (82.4260615),318724610,Information Technology,JEE(Main),AI to AI,AI,3187
254,15716 (82.3605534),615537210,Electronics and ,JEE(Main),AI to AI,AI,6155
,,,Telecommunication Engg,,,,
255,15751 (82.3223810),321137210,Electronics and ,JEE(Main),AI to AI,AI,3211
,,,Telecommunication Engg,,,,
256,15796 (82.2496423),417426210,Computer Science and ,JEE(Main),AI to AI,AI,4174
,,,Business Systems,,,,
257,15842 (82.1862457),628424510,Computer Engineering,JEE(Main),AI to AI,AI,6284
,,,,,,,
258,15966 (82.0588895),662292110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6622
,,,Machine Learning,,,,
259,16016 (82.0116978),417426010,Computer Science and ,JEE(Main),AI to AI,AI,4174
,,,Engineering (Cyber ,,,,
260,16089 (81.9456350),413624210,Computer Science and ,JEE(Main),AI to AI,AI,4136
,,,Engineering,,,,
261,16102 (81.9456350),617519110,Civil Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
262,16164 (81.8853408),627261210,Mechanical Engineering,JEE(Main),AI to AI,AI,6272
263,16300 (81.7168921),618524510,Computer Engineering,JEE(Main),AI to AI,AI,6185
264,16324 (81.7118499),673299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6732
,,,Data Science,,,,
265,16345 (81.7010512),622226310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6222
,,,and Data Science,,,,
