Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
42,2227 (96.3886776),617524520,Computer Engineering,JEE,AI to AI,AI,6175
,,,,,,,
43,2240 (96.3790568),318424510,Computer Engineering,JEE,AI to AI,AI,
44,2262 (96.3579450),321424510,Computer Engineering,JEE,AI to AI,AI,3214
45,2320 (96.2670897),303651110,Dyestuff Technology,JEE,AI to AI,AI,3036
46,2394 (96.1717267),627624510F,Computer Engineering,JEE,AI to AI,AI,6276
47,2417 (96.1308396),628924520,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
48,2458 (96.0910350),627361210,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
49,2488 (96.0589880),411537020,Electronics and Communication,JEE,AI to AI,AI,4115
,,,Engineering,,,,
50,2545 (96.0125542),617524610,Information Technology,JEE,AI to AI,AI,6175
,,,,,,,
51,2580 (95.9623985),319950710,Chemical Engineering,JEE,AI to AI,AI,3199
,,,,,,,
52,2600 (95.9372844),319724610,Information Technology,JEE,AI to AI,AI,3197
53,2636 (95.8893056),320924610,Information Technology,JEE,AI to AI,AI,3209
54,2640 (95.8866478),627624520F,Computer Engineering,JEE,AI to AI,AI,6276
55,2675 (95.8564941),318137610,Electronics Engineering,JEE,AI to AI,AI,3181
56,2710 (95.8208304),319937610,Electronics Engineering,JEE,AI to AI,AI,3199
,,,,,,,
57,2739 (95.7730885),627361220,Mechanical Engineering,JEE,AI to AI,AI,6273
,,,,,,,
58,2937 (95.5504187),627424510,Computer Engineering,JEE,AI to AI,AI,6274
59,2948 (95.5313481),303651410,Fibres and Textile Processing,JEE,AI to AI,AI,3036
,,,Technology,,,,
,,,,,,,
,,,,,,,
,,,,,,,
60,2999 (95.4488227),318524610,Information Technology,JEE,AI to AI,AI,3185
61,3033 (95.3937897),317624510,Computer Engineering,JEE,AI to AI,AI,3176
62,3147 (95.2327777),675424510,Computer Engineering,JEE,AI to AI,AI,6754
63,3222 (95.1348324),614624510,Computer Engineering,JEE,AI to AI,AI,6146
64,3224 (95.1348324),318324510,Computer Engineering,JEE,AI to AI,AI,3183
65,3319 (95.0398165),627624610F,Information Technology,JEE,AI to AI,AI,6276
66,3348 (95.0119865),318237210,Electronics and Telecommunication,JEE,AI to AI,AI,3182
,,,Engg,,,,
67,3390 (94.9334542),320429310,Electrical Engineering,JEE,AI to AI,AI,
68,3498 (94.7851981),628924610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
69,3535 (94.7518884),319761210,Mechanical Engineering,JEE,AI to AI,AI,3197
70,3548 (94.7278437),317624610,Information Technology,JEE,AI to AI,AI,3176
71,3556 (94.7238600),318490010,Electronics and Computer Science,JEE,AI to AI,AI,3184
72,3620 (94.6445685),411699710,Artificial Intelligence,JEE,AI to AI,AI,4116
73,3740 (94.4918712),627824510,Computer Engineering,JEE,AI to AI,AI,6278
74,3802 (94.3975379),318461210,Mechanical Engineering,JEE,AI to AI,AI,3184
75,3928 (94.2438727),313924510,Computer Engineering,JEE,AI to AI,AI,3139
76,3937 (94.2372973),675424610,Information Technology,JEE,AI to AI,AI,6754
77,4168 (93.9695223),614624610,Information Technology,JEE,AI to AI,AI,6146
78,4301 (93.7842128),627424610,Information Technology,JEE,AI to AI,AI,6274
79,4314 (93.7742111),627224510,Computer Engineering,JEE,AI to AI,AI,6272
80,4338 (93.7342635),317424510,Computer Engineering,JEE,AI to AI,AI,3174
81,4432 (93.6226010),430524210,Computer Science and Engineering,JEE,AI to AI,AI,4305
82,4435 (93.6226010),320424510,Computer Engineering,JEE,AI to AI,AI,3204
83,4491 (93.5538623),617561210,Mechanical Engineering,JEE,AI to AI,AI,6175
,,,,,,,
84,4570 (93.4744912),318537210,Electronics and Telecommunication,JEE,AI to AI,AI,3185
,,,Engg,,,,
85,4575 (93.4665038),320119110,Civil Engineering,JEE,AI to AI,AI,3201
86,4582 (93.4546511),617537210,Electronics and Telecommunication,JEE,AI to AI,AI,6175
,,,Engg,,,,
87,4600 (93.4218226),411519110,Civil Engineering,JEE,AI to AI,AI,4115
88,4700 (93.3161671),411519120,Civil Engineering,JEE,AI to AI,AI,4115
89,4716 (93.3130618),682224510,Computer Engineering,JEE,AI to AI,AI,6822
,,,,,,,
90,4811 (93.1909285),411529310,Electrical Engineering,JEE,AI to AI,AI,4115
,,,,,,,
,,,,,,,
,,,,,,,
91,4823 (93.1852151),679624510,Computer Engineering,JEE,AI to AI,AI,6796
92,4913 (93.0735618),318250710,Chemical Engineering,JEE,AI to AI,AI,3182
93,4938 (93.0326308),627824520,Computer Engineering,JEE,AI to AI,AI,6278
94,5041 (92.8998220),627637210F,Electronics and Telecommunication,JEE,AI to AI,AI,6276
,,,Engg,,,,
95,5088 (92.8606142),617561220,Mechanical Engineering,JEE,AI to AI,AI,6175
,,,,,,,
96,5121 (92.8310669),627224610,Information Technology,JEE,AI to AI,AI,6272
97,5169 (92.7484819),317424520,Computer Engineering,JEE,AI to AI,AI,3174
98,5196 (92.7280039),313524510,Computer Engineering,JEE,AI to AI,AI,3135
99,5224 (92.6953786),320937210,Electronics and Telecommunication,JEE,AI to AI,AI,3209
,,,Engg,,,,
100,5357 (92.5219385),313924610,Information Technology,JEE,AI to AI,AI,3139
101,5391 (92.4650908),320937610,Electronics Engineering,JEE,AI to AI,AI,3209
102,5551 (92.3144860),617724510,Computer Engineering,JEE,AI to AI,AI,6177
103,5561 (92.3132106),628937210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
104,5616 (92.2363677),617537220,Electronics and Telecommunication,JEE,AI to AI,AI,6175
,,,Engg,,,,
105,5654 (92.2086532),614124510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
106,5666 (92.1848282),321424610,Information Technology,JEE,AI to AI,AI,3214
107,5690 (92.1614555),411537610,Electronics Engineering,JEE,AI to AI,AI,4115
108,5691 (92.1614555),317661210,Mechanical Engineering,JEE,AI to AI,AI,3176
109,5730 (92.0735521),317637210,Electronics and Telecommunication,JEE,AI to AI,AI,3176
,,,Engg,,,,
110,5905 (91.8706286),617519110,Civil Engineering,JEE,AI to AI,AI,6175
,,,,,,,
111,6053 (91.6967740),617724520,Computer Engineering,JEE,AI to AI,AI,6177
112,6181 (91.5561957),628937220,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
113,6218 (91.5386571),320424610,Information Technology,JEE,AI to AI,AI,
114,6228 (91.5163630),411537620,Electronics Engineering,JEE,AI to AI,AI,4115
115,6233 (91.5163630),313524610,Information Technology,JEE,AI to AI,AI,3135
116,6241 (91.5079191),320124510,Computer Engineering,JEE,AI to AI,AI,3201
117,6255 (91.4940393),627360610,Production Engineering,JEE,AI to AI,AI,6273
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
118,6268 (91.4566031),317424610,Information Technology,JEE,AI to AI,AI,3174
119,6339 (91.3513965),680224510,Computer Engineering,JEE,AI to AI,AI,6802
120,6443 (91.2785005),321124510,Computer Engineering,JEE,AI to AI,AI,3211
121,6496 (91.1642536),627350710,Chemical Engineering,JEE,AI to AI,AI,6273
,,,,,,,
122,6506 (91.1617813),627661210F,Mechanical Engineering,JEE,AI to AI,AI,6276
123,6524 (91.1581939),613924510,Computer Engineering,JEE,AI to AI,AI,6139
124,6535 (91.1568651),675437210,Electronics and Telecommunication,JEE,AI to AI,AI,6754
,,,Engg,,,,
125,6610 (91.0618548),628224510,Computer Engineering,JEE,AI to AI,AI,6282
,,,,,,,
126,6716 (90.9573508),416725110,Computer Technology,JEE,AI to AI,AI,4167
127,6779 (90.8722704),628224520,Computer Engineering,JEE,AI to AI,AI,6282
,,,,,,,
128,6891 (90.7084774),627637220F,Electronics and Telecommunication,JEE,AI to AI,AI,6276
,,,Engg,,,,
129,6910 (90.6981646),628961210,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
130,6954 (90.5990210),319737210,Electronics and Telecommunication,JEE,AI to AI,AI,3197
,,,Engg,,,,
131,7035 (90.5079476),628961220,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
132,7120 (90.4012134),342324510,Computer Engineering,JEE,AI to AI,AI,3423
133,7157 (90.3601927),319960610,Production Engineering,JEE,AI to AI,AI,3199
,,,,,,,
134,7187 (90.3248357),411535410,Electronics Design Technology,JEE,AI to AI,AI,4115
135,7210 (90.2911381),319729310,Electrical Engineering,JEE,AI to AI,AI,3197
136,7220 (90.2908603),414299710,Artificial Intelligence,JEE,AI to AI,AI,4142
,,,,,,,
137,7310 (90.1676885),318924510,Computer Engineering,JEE,AI to AI,AI,3189
138,7344 (90.1468933),321437210,Electronics and Telecommunication,JEE,AI to AI,AI,3214
,,,Engg,,,,
139,7470 (89.9864094),416724610,Information Technology,JEE,AI to AI,AI,4167
140,7618 (89.7697950),321124610,Information Technology,JEE,AI to AI,AI,3211
141,7628 (89.7680826),512124510,Computer Engineering,JEE,AI to AI,AI,5121
142,7802 (89.5472784),613924520,Computer Engineering,JEE,AI to AI,AI,6139
143,7877 (89.5118101),314824510,Computer Engineering,JEE,AI to AI,AI,3148
,,,,,,,
,,,,,,,
,,,,,,,
144,7950 (89.3946824),628224610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
145,8012 (89.3098070),320724510,Computer Engineering,JEE,AI to AI,AI,
146,8151 (89.1540445),319424510,Computer Engineering,JEE,AI to AI,AI,
147,8153 (89.1540445),617724610,Information Technology,JEE,AI to AI,AI,
148,8179 (89.1401133),411624210,Computer Science and Engineering,JEE,AI to AI,AI,
149,8219 (89.0541289),627646610F,Instrumentation Engineering,JEE,AI to AI,AI,
150,8240 (89.0489273),320324510,Computer Engineering,JEE,AI to AI,AI,
151,8465 (88.8196518),411558910,Industrial Engineering,JEE,AI to AI,AI,
152,8572 (88.7022915),614650710,Chemical Engineering,JEE,AI to AI,AI,
153,8658 (88.5528082),512124610,Information Technology,JEE,AI to AI,AI,
154,8689 (88.5178425),317637610,Electronics Engineering,JEE,AI to AI,AI,
155,8954 (88.1502334),628124510,Computer Engineering,JEE,AI to AI,AI,
156,8992 (88.0911582),620724520,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
157,9026 (88.0505613),319024510,Computer Engineering,JEE,AI to AI,AI,
158,9136 (87.8867195),627437210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
159,9179 (87.8191470),627346410,Instrumentation and Control ,JEE,AI to AI,AI,
,,,Engineering,,,,
160,9215 (87.8121653),615624510,Computer Engineering,JEE,AI to AI,AI,
161,9223 (87.8121653),319946110,Bio Medical Engineering,JEE,AI to AI,AI,
,,,,,,,
162,9242 (87.7897564),628124520,Computer Engineering,JEE,AI to AI,AI,
163,9271 (87.7791767),613924610,Information Technology,JEE,AI to AI,AI,
164,9285 (87.7647624),620724510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
165,9310 (87.6956885),614637210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
166,9373 (87.6143105),614129310,Electrical Engineering,JEE,AI to AI,AI,
,,,,,,,
167,9388 (87.6027784),318324610,Information Technology,JEE,AI to AI,AI,
168,9499 (87.4590021),614124610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
169,9540 (87.3849445),346037610,Electronics Engineering,JEE,AI to AI,AI,
170,9582 (87.3762144),628524510F,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
171,9659 (87.2984897),682237210,Electronics and Telecommunication,JEE,AI to AI,AI,6822
,,,Engg,,,,
172,9674 (87.2884385),110124210,Computer Science and Engineering,JEE,AI to AI,AI,1101
173,9683 (87.2591417),626524210,Computer Science and Engineering,JEE,AI to AI,AI,6265
174,9809 (87.0989403),319024520,Computer Engineering,JEE,AI to AI,AI,3190
175,9831 (87.0452903),613924620,Information Technology,JEE,AI to AI,AI,6139
176,9860 (87.0398049),320324610,Information Technology,JEE,AI to AI,AI,3203
177,9912 (86.9634680),627237210,Electronics and Telecommunication,JEE,AI to AI,AI,6272
,,,Engg,,,,
178,9928 (86.9521982),627837210,Electronics and Telecommunication,JEE,AI to AI,AI,6278
,,,Engg,,,,
179,9947 (86.9127153),617624510,Computer Engineering,JEE,AI to AI,AI,6176
180,9976 (86.8914678),320724610,Information Technology,JEE,AI to AI,AI,3207
181,10019 (86.8707368),620724610,Information Technology,JEE,AI to AI,AI,6207
,,,,,,,
182,10050 (86.7816362),627461210,Mechanical Engineering,JEE,AI to AI,AI,6274
183,10082 (86.7815880),516224510,Computer Engineering,JEE,AI to AI,AI,5162
,,,,,,,
184,10122 (86.7444807),416737210,Electronics and Telecommunication,JEE,AI to AI,AI,4167
,,,Engg,,,,
185,10157 (86.6883608),319024610,Information Technology,JEE,AI to AI,AI,3190
186,10220 (86.6165902),319424610,Information Technology,JEE,AI to AI,AI,3194
187,10237 (86.5976936),615624610,Information Technology,JEE,AI to AI,AI,6156
188,10265 (86.5644406),314824610,Information Technology,JEE,AI to AI,AI,3148
189,10288 (86.5212672),318924610,Information Technology,JEE,AI to AI,AI,3189
190,10325 (86.4674574),318537610,Electronics Engineering,JEE,AI to AI,AI,3185
191,10725 (86.0147427),615524510,Computer Engineering,JEE,AI to AI,AI,6155
192,10775 (85.9306242),320461210,Mechanical Engineering,JEE,AI to AI,AI,
193,10945 (85.7187973),628919110,Civil Engineering,JEE,AI to AI,AI,
,,,,,,,
194,10967 (85.6956558),110124610,Information Technology,JEE,AI to AI,AI,1101
195,10971 (85.6956558),318724510,Computer Engineering,JEE,AI to AI,AI,3187
196,10985 (85.6943444),319624510,Computer Engineering,JEE,AI to AI,AI,3196
197,11010 (85.6180306),614637610,Electronics Engineering,JEE,AI to AI,AI,6146
198,11041 (85.5784026),411624610,Information Technology,JEE,AI to AI,AI,4116
199,11049 (85.5784026),313937210,Electronics and Telecommunication,JEE,AI to AI,AI,3139
,,,Engg,,,,
200,11169 (85.4067139),627429310,Electrical Engineering,JEE,AI to AI,AI,6274
,,,,,,,
,,,,,,,
,,,,,,,
201,11368 (85.2518932),615524610,Information Technology,JEE,AI to AI,AI,
202,11402 (85.1796930),411637210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
203,11622 (84.9578142),318246110,Bio Medical Engineering,JEE,AI to AI,AI,
204,11626 (84.9482543),627358910,Industrial Engineering,JEE,AI to AI,AI,
,,,,,,,
205,11629 (84.9482543),343924510,Computer Engineering,JEE,AI to AI,AI,
206,11652 (84.8761340),664924510,Computer Engineering,JEE,AI to AI,AI,
207,11745 (84.7992272),626724210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
208,11752 (84.7838648),621424510,Computer Engineering,JEE,AI to AI,AI,
209,11777 (84.7529071),617824510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
210,11819 (84.6938009),621456810,Computer Science and Information,JEE,AI to AI,AI,
,,,Technology,,,,
211,11930 (84.5603675),616024510,Computer Engineering,JEE,AI to AI,AI,
212,12020 (84.4629004),627850710,Chemical Engineering,JEE,AI to AI,AI,
213,12065 (84.3981158),614661210,Mechanical Engineering,JEE,AI to AI,AI,
214,12153 (84.3292557),417424610,Information Technology,JEE,AI to AI,AI,
215,12177 (84.3036621),516224610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
216,12214 (84.2340472),631024510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
217,12217 (84.2340472),342324610,Information Technology,JEE,AI to AI,AI,
218,12227 (84.2335522),412300210,Aeronautical Engineering,JEE,AI to AI,AI,
,,,,,,,
219,12246 (84.2040845),612224510,Computer Engineering,JEE,AI to AI,AI,
220,12268 (84.1743309),614619110,Civil Engineering,JEE,AI to AI,AI,
221,12275 (84.1743309),627261210,Mechanical Engineering,JEE,AI to AI,AI,
222,12296 (84.1614907),321161210,Mechanical Engineering,JEE,AI to AI,AI,
223,12369 (84.0701326),213224210,Computer Science and Engineering,JEE,AI to AI,AI,
224,12451 (83.9847456),510408210,Bio Technology,JEE,AI to AI,AI,
225,12506 (83.9493340),314837210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
226,12510 (83.9444328),617824520,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
227,12587 (83.8185759),320137210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
228,12661 (83.7592407),626524610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
229,12723 (83.7165190),414224210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
230,12791 (83.6034503),631024610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
231,12967 (83.3912541),617624610,Information Technology,JEE,AI to AI,AI,
232,12990 (83.3683033),320161210,Mechanical Engineering,JEE,AI to AI,AI,
233,13016 (83.3453986),614524510,Computer Engineering,JEE,AI to AI,AI,
234,13027 (83.3394657),320624510,Computer Engineering,JEE,AI to AI,AI,
235,13072 (83.2563929),627261220,Mechanical Engineering,JEE,AI to AI,AI,
236,13113 (83.1608381),320437210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
237,13206 (83.1099488),313561210,Mechanical Engineering,JEE,AI to AI,AI,
238,13208 (83.1099488),317619110,Civil Engineering,JEE,AI to AI,AI,
239,13259 (83.0738341),318824510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
240,13301 (83.0635031),517624510,Computer Engineering,JEE,AI to AI,AI,
241,13383 (82.9283858),213329310,Electrical Engineering,JEE,AI to AI,AI,
242,13385 (82.9283858),627861210,Mechanical Engineering,JEE,AI to AI,AI,
243,13627 (82.7571416),417424510,Computer Engineering,JEE,AI to AI,AI,
244,13689 (82.6659764),416761210,Mechanical Engineering,JEE,AI to AI,AI,
245,13739 (82.6053591),617824610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
246,13837 (82.3973200),346024510,Computer Engineering,JEE,AI to AI,AI,
247,13866 (82.3697699),675524510,Computer Engineering,JEE,AI to AI,AI,
248,13940 (82.3309070),680237210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
249,14111 (82.1446733),317437210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
250,14188 (82.0455658),662029310,Electrical Engineering,JEE,AI to AI,AI,
251,14248 (81.9822613),628424510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
252,14253 (81.9822613),680250710,Chemical Engineering,JEE,AI to AI,AI,
253,14271 (81.9580586),628524610F,Information Technology,JEE,AI to AI,AI,
,,,,,,,
254,14324 (81.8846400),318724610,Information Technology,JEE,AI to AI,AI,
255,14403 (81.7554640),613819110,Civil Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
256,14447 (81.7402303),622224210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
257,14502 (81.7278177),313537210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
258,14667 (81.5206727),620624510,Computer Engineering,JEE,AI to AI,AI,
259,14784 (81.3726674),628300210,Aeronautical Engineering,JEE,AI to AI,AI,
260,14803 (81.3714275),315424510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
261,14843 (81.3320931),516024510,Computer Engineering,JEE,AI to AI,AI,
262,14947 (81.1901511),627829310,Electrical Engineering,JEE,AI to AI,AI,
263,14979 (81.1453865),321024510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
264,15133 (80.9630147),679637210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
265,15136 (80.9630147),621419110,Civil Engineering,JEE,AI to AI,AI,
266,15158 (80.9630147),321224510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
267,15213 (80.9527556),318319110,Civil Engineering,JEE,AI to AI,AI,
268,15299 (80.8779194),622289810,Textile Engineering (Fashion,JEE,AI to AI,AI,
,,,Technology),,,,
269,15334 (80.8309550),620624610,Information Technology,JEE,AI to AI,AI,
270,15366 (80.8059455),317437220,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
271,15369 (80.7502053),213250710,Chemical Engineering,JEE,AI to AI,AI,
272,15384 (80.7502053),627219110,Civil Engineering,JEE,AI to AI,AI,
273,15400 (80.7502053),413724210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
274,15404 (80.7265899),618224510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
275,15457 (80.6152958),614524610,Information Technology,JEE,AI to AI,AI,
276,15583 (80.5336886),510824510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
277,15838 (80.1934836),617924510,Computer Engineering,JEE,AI to AI,AI,
278,15903 (80.1274172),660924510,Computer Engineering,JEE,AI to AI,AI,
279,15954 (80.1216682),682261210,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
280,16006 (80.0840687),225024210,Computer Science and Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
281,16072 (80.0458500),630724510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
282,16090 (79.9543749),513924610,Information Technology,JEE,AI to AI,AI,
283,16127 (79.9193943),617737210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
284,16211 (79.7749477),629824510,Computer Engineering,JEE,AI to AI,AI,
285,16313 (79.6919577),319224510,Computer Engineering,JEE,AI to AI,AI,
286,16375 (79.6387761),614137210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
287,16386 (79.6387761),512137210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
288,16396 (79.5963798),464924510,Computer Engineering,JEE,AI to AI,AI,
289,16423 (79.5963798),513924510,Computer Engineering,JEE,AI to AI,AI,
290,16452 (79.5963798),416735610,Electrical Engg[Electronics and Power],JEE,AI to AI,AI,
291,16497 (79.3834802),211424210,Computer Science and Engineering,JEE,AI to AI,AI,
292,16501 (79.3834802),318950710,Chemical Engineering,JEE,AI to AI,AI,
293,16537 (79.3666149),621429310,Electrical Engineering,JEE,AI to AI,AI,
294,16569 (79.3561583),319062410,Mechatronics Engineering,JEE,AI to AI,AI,
295,16603 (79.3337429),628237210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
296,16614 (79.3337429),110524210,Computer Science and Engineering,JEE,AI to AI,AI,
297,16627 (79.3337429),622289610,Textile Technology,JEE,AI to AI,AI,
,,,,,,,
298,16651 (79.2947167),621461210,Mechanical Engineering,JEE,AI to AI,AI,
299,16833 (79.2137792),618224520,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
300,16846 (79.2137792),627219120,Civil Engineering,JEE,AI to AI,AI,
301,16869 (79.1961807),416719110,Civil Engineering,JEE,AI to AI,AI,
302,16895 (79.1887831),318750710,Chemical Engineering,JEE,AI to AI,AI,
303,16942 (78.9839208),512119110,Civil Engineering,JEE,AI to AI,AI,
304,16998 (78.9399083),313937610,Electronics Engineering,JEE,AI to AI,AI,
305,17080 (78.8651431),617737220,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
306,17324 (78.6766678),322324510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
307,17343 (78.6694102),320760210,Automobile Engineering,JEE,AI to AI,AI,
308,17446 (78.4530437),213224610,Information Technology,JEE,AI to AI,AI,
309,17524 (78.3565946),313946110,Bio Medical Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
310,17546 (78.3565946),618724510,Computer Engineering,JEE,AI to AI,AI,6187
311,17627 (78.2901187),677224510,Computer Engineering,JEE,AI to AI,AI,6772
312,17813 (78.0711815),317524510,Computer Engineering,JEE,AI to AI,AI,3175
313,17814 (78.0711815),314624510,Computer Engineering,JEE,AI to AI,AI,3146
,,,,,,,
314,17882 (77.9593300),673224510,Computer Engineering,JEE,AI to AI,AI,6732
315,17894 (77.9593300),627819110,Civil Engineering,JEE,AI to AI,AI,6278
316,17897 (77.9593300),417124210,Computer Science and Engineering,JEE,AI to AI,AI,4171
,,,,,,,
317,17946 (77.8986337),516024610,Information Technology,JEE,AI to AI,AI,5160
